schema_version,submission_id,submitted_at_utc,dynamic_question_ids,project_code,company_name,company_size,employee_count,industry,production_type,line_name,region,pain_points,current_systems,automation_level,pilot_scope,profile_owner,respondent_code,role,department,shift,years_experience,tenure_current_position,education_level,digital_exposure_years,digital_tool_frequency,participated_digital_project,training_hours_12m,decision_involvement,P_EQS_01,P_EQS_02,P_EQS_03,P_EQS_04,P_EQS_05,P_EQS_06,P_EQS_07,P_PRM_01,P_PRM_02,P_PRM_03,P_PRM_04,P_PRM_05,P_PRM_06,P_PRM_07,P_SEN_01,P_SEN_02,P_SEN_03,P_SEN_04,P_SEN_05,P_SEN_06,P_SEN_07,P_CAL_01,P_CAL_02,P_CAL_03,P_CAL_04,P_CAL_05,P_CAL_06,P_CAL_07,P_ACC_01,P_ACC_02,P_ACC_03,P_ACC_04,P_ACC_05,P_ACC_06,P_ACC_07,P_CMP_01,P_CMP_02,P_CMP_03,P_CMP_04,P_CMP_05,P_CMP_06,P_CMP_07,P_TIM_01,P_TIM_02,P_TIM_03,P_TIM_04,P_TIM_05,P_TIM_06,P_TIM_07,P_ENE_01,P_ENE_02,P_ENE_03,P_ENE_04,P_ENE_05,P_ENE_06,P_ENE_07,P_QLT_01,P_QLT_02,P_QLT_03,P_QLT_04,P_QLT_05,P_QLT_06,P_QLT_07,P_ACS_01,P_ACS_02,P_ACS_03,P_ACS_04,P_ACS_05,P_ACS_06,ATTN_P_01,C_NET_01,C_NET_02,C_NET_03,C_NET_04,C_NET_05,C_REL_01,C_REL_02,C_REL_03,C_REL_04,C_REL_05,C_LAT_01,C_LAT_02,C_LAT_03,C_LAT_04,C_LAT_05,C_LOS_01,C_LOS_02,C_LOS_03,C_LOS_04,C_LOS_05,C_PRT_01,C_PRT_02,C_PRT_03,C_PRT_04,C_PRT_05,C_EDG_01,C_EDG_02,C_EDG_03,C_EDG_04,C_EDG_05,C_IAM_01,C_IAM_02,C_IAM_03,C_IAM_04,C_IAM_05,C_BUF_01,C_BUF_02,C_BUF_03,C_BUF_04,C_BUF_05,C_CLK_01,C_CLK_02,C_CLK_03,C_CLK_04,C_CLK_05,C_SEC_01,C_SEC_02,C_SEC_03,C_SEC_04,ATTN_C_01,I_INT_01,I_INT_02,I_INT_03,I_INT_04,I_INT_05,I_INT_06,I_MDM_01,I_MDM_02,I_MDM_03,I_MDM_04,I_MDM_05,I_MDM_06,I_TRC_01,I_TRC_02,I_TRC_03,I_TRC_04,I_TRC_05,I_TRC_06,I_SHR_01,I_SHR_02,I_SHR_03,I_SHR_04,I_SHR_05,I_SHR_06,I_VIS_01,I_VIS_02,I_VIS_03,I_VIS_04,I_VIS_05,I_VIS_06,I_HMI_01,I_HMI_02,I_HMI_03,I_HMI_04,I_HMI_05,I_HMI_06,I_EXC_01,I_EXC_02,I_EXC_03,I_EXC_04,I_EXC_05,I_EXC_06,I_HDO_01,I_HDO_02,I_HDO_03,I_HDO_04,I_HDO_05,I_HDO_06,I_COL_01,I_COL_02,I_COL_03,I_COL_04,I_COL_05,I_COL_06,I_SIL_01,I_SIL_02,I_SIL_03,I_SIL_04,I_SIL_05,ATTN_I_01,O_APC_01,O_APC_02,O_APC_03,O_APC_04,O_APC_05,O_PDM_01,O_PDM_02,O_PDM_03,O_PDM_04,O_PDM_05,O_QAN_01,O_QAN_02,O_QAN_03,O_QAN_04,O_QAN_05,O_EOP_01,O_EOP_02,O_EOP_03,O_EOP_04,O_EOP_05,O_SCH_01,O_SCH_02,O_SCH_03,O_SCH_04,O_SCH_05,O_AID_01,O_AID_02,O_AID_03,O_AID_04,O_AID_05,O_PDC_01,O_PDC_02,O_PDC_03,O_PDC_04,O_PDC_05,O_ALM_01,O_ALM_02,O_ALM_03,O_ALM_04,O_ALM_05,O_SIM_01,O_SIM_02,O_SIM_03,O_SIM_04,O_SIM_05,O_BEN_01,O_BEN_02,O_BEN_03,O_BEN_04,ATTN_O_01,H_TRN_01,H_TRN_02,H_TRN_03,H_TRN_04,H_TRN_05,H_SKL_01,H_SKL_02,H_SKL_03,H_SKL_04,H_SKL_05,H_MGT_01,H_MGT_02,H_MGT_03,H_MGT_04,H_MGT_05,H_INC_01,H_INC_02,H_INC_03,H_INC_04,H_INC_05,H_CHG_01,H_CHG_02,H_CHG_03,H_CHG_04,H_CHG_05,H_HMT_01,H_HMT_02,H_HMT_03,H_HMT_04,ATTN_H_01,PERF_QUALITY,PERF_COST,PERF_EFF,PERF_FLEX,BARR_01,BARR_02,BARR_03,BARR_04,BARR_05,BARR_06,BAR_MULTI_01,BAR_MULTI_02,BAR_MULTI_03,BAR_RANK_01,BAR_RANK_02,BAR_RANK_03,BAR_RANK_04,OPEN_01,OPEN_02,OPEN_03
3.0.0,09f9a0e98c454beea3d498f50525eaaa,2026-06-11T09:45:12.706449+00:00,,CHEM-PILOT-01,匿名流程制造企业,medium,180,chemical,batch_process,反应与蒸发工序,East China,process_variation|energy_cost|equipment_downtime,plc|dcs|excel,connected,关键反应釜、蒸汽计量与三效蒸发,生产技术经理,SYN-011,operator,生产3组,rotating,11,1,college,3,daily,no,16,approve_local,2,3,3,4,4,3,3,3,3,3,3,3,2,2,3,3,3,2,4,4,3,3,3,3,3,4,3,3,3,3,2,2,3,3,3,3,3,4,3,4,3,2,2,3,3,3,3,3,3,2,3,3,4,4,2,3,2,3,4,3,3,3,3,3,4,3,3,4,3,4,3,4,3,3,3,3,3,4,3,2,4,3,3,2,3,4,2,4,2,3,3,3,3,2,4,3,3,3,3,3,4,2,3,3,4,3,3,4,3,4,4,3,3,3,3,3,4,3,3,4,3,2,2,3,3,3,2,2,2,3,4,3,3,1,3,2,3,3,2,3,2,2,4,3,2,2,2,2,4,3,3,3,2,2,3,3,3,3,2,2,4,3,3,2,3,3,3,3,3,2,2,2,4,3,3,2,1,3,3,4,2,1,1,5,1,2,2,2,5,1,2,2,2,4,2,1,1,2,5,1,1,2,2,5,1,2,1,2,5,1,1,1,1,5,1,2,2,1,5,2,2,2,2,4,2,2,2,2,4,4,3,4,2,3,3,4,3,3,3,4,4,3,3,3,3,2,3,3,3,3,3,4,3,3,3,4,4,4,2,4,3,3,3,3,3,3,2,4,4,3,budget|sensor_gap|legacy_assets,monitoring|maintenance|quality,training|time|expert,budget>sensor_gap>legacy_assets>network>data_quality,P_sensor>P_quality>C_network>C_edge>I_mapping,availability>quality>energy>throughput>flexibility,pilot_scope>baseline>owner>frontline>reuse,设备、质量、节拍和跨班组信息影响当前稳定运行。,先补齐关键测点、统一记录口径并减少重复录入。,本记录为 PCIO Toolkit 合成示例，仅供参考。
3.0.0,dd46912e774140c0aa974f4cc7e9be09,2026-06-11T09:45:12.707311+00:00,,CHEM-PILOT-01,匿名流程制造企业,medium,180,chemical,batch_process,反应与蒸发工序,East China,process_variation|energy_cost|equipment_downtime,plc|dcs|excel,connected,关键反应釜、蒸汽计量与三效蒸发,生产技术经理,SYN-012,technician,生产4组,regular,12,2,college,4,daily,no,17,suggest,3,2,2,2,4,1,3,2,1,2,2,5,3,2,1,2,1,2,4,1,2,2,2,1,2,4,2,2,2,1,2,2,4,2,2,2,3,2,1,4,3,2,2,1,2,2,4,2,2,2,3,3,2,4,2,1,2,1,2,2,4,2,2,3,2,2,2,5,2,4,3,2,2,4,2,2,2,2,3,2,2,3,3,4,2,3,2,3,4,1,2,3,2,3,2,3,2,2,3,2,2,2,2,4,3,2,2,2,3,3,2,3,3,4,2,3,3,2,3,4,1,2,2,2,3,2,4,1,1,2,5,2,2,1,2,2,4,2,2,2,2,2,4,3,2,2,2,2,4,2,2,2,2,1,4,2,1,3,3,2,4,2,2,1,2,2,4,2,1,2,2,2,4,3,2,2,1,2,4,4,3,3,2,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,4,2,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,4,3,3,3,3,4,3,4,3,2,3,4,3,3,3,4,3,3,3,3,3,3,3,2,3,3,3,4,4,2,3,3,3,4,4,4,3,3,2,3,4,3,4,3,4,3,budget|sensor_gap|legacy_assets,monitoring|maintenance|quality,training|time|expert,budget>sensor_gap>legacy_assets>network>data_quality,P_sensor>P_quality>C_network>C_edge>I_mapping,availability>quality>energy>throughput>flexibility,pilot_scope>baseline>owner>frontline>reuse,设备、质量、节拍和跨班组信息影响当前稳定运行。,先补齐关键测点、统一记录口径并减少重复录入。,本记录为 PCIO Toolkit 合成示例，仅供参考。
3.0.0,2c521833ec40488888284d4f5fc75125,2026-06-11T09:45:12.708153+00:00,,CHEM-PILOT-01,匿名流程制造企业,medium,180,chemical,batch_process,反应与蒸发工序,East China,process_variation|energy_cost|equipment_downtime,plc|dcs|excel,connected,关键反应釜、蒸汽计量与三效蒸发,生产技术经理,SYN-013,process,生产1组,day,13,3,college,5,daily,yes,18,suggest,2,3,3,2,3,2,1,2,2,3,3,4,2,2,2,2,3,2,3,2,2,2,2,3,2,4,2,3,3,1,2,2,4,3,2,2,2,2,3,5,2,3,1,3,2,2,4,3,1,2,2,3,3,4,2,1,2,2,2,2,4,2,3,3,1,3,2,4,2,4,4,3,4,3,2,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,4,3,3,3,4,3,4,3,4,2,3,4,3,3,3,4,4,2,3,3,3,4,4,2,3,4,2,3,2,3,3,2,2,3,3,2,3,2,2,2,2,2,4,2,2,3,2,2,3,2,2,2,2,3,3,2,2,2,3,3,4,2,2,2,3,2,4,3,3,2,2,2,4,2,2,2,2,3,4,2,2,3,2,2,4,4,2,2,2,3,2,3,3,2,3,2,2,3,4,3,3,2,3,3,4,2,3,3,3,3,3,2,2,3,4,3,3,3,3,3,2,2,3,2,3,2,3,3,3,4,3,3,3,3,3,4,2,3,3,3,3,2,2,3,3,3,3,2,2,3,3,3,3,3,3,3,3,2,2,4,2,2,3,3,4,4,3,3,3,3,4,3,3,4,3,3,budget|sensor_gap|legacy_assets,monitoring|maintenance|quality,training|time|expert,budget>sensor_gap>legacy_assets>network>data_quality,P_sensor>P_quality>C_network>C_edge>I_mapping,availability>quality>energy>throughput>flexibility,pilot_scope>baseline>owner>frontline>reuse,设备、质量、节拍和跨班组信息影响当前稳定运行。,先补齐关键测点、统一记录口径并减少重复录入。,本记录为 PCIO Toolkit 合成示例，仅供参考。
3.0.0,70ac99ba980a4b7d8606000ada4cf7fb,2026-06-11T09:45:12.708991+00:00,,CHEM-PILOT-01,匿名流程制造企业,medium,180,chemical,batch_process,反应与蒸发工序,East China,process_variation|energy_cost|equipment_downtime,plc|dcs|excel,connected,关键反应釜、蒸汽计量与三效蒸发,生产技术经理,SYN-014,team_lead,生产2组,night,14,4,college,6,daily,no,19,suggest,4,3,3,4,4,3,3,3,3,3,2,3,3,3,4,3,3,3,4,3,3,3,3,4,2,2,3,3,4,3,3,3,4,3,4,3,3,3,4,3,3,4,4,2,3,4,3,4,3,3,3,4,3,3,3,3,4,3,4,3,3,3,3,3,3,3,4,3,4,4,4,3,4,3,4,4,2,4,2,4,4,4,3,2,4,3,4,4,2,4,3,4,3,2,4,3,4,4,2,3,4,3,3,3,3,3,2,3,2,3,3,4,3,3,4,3,4,4,3,4,3,2,1,2,3,2,3,2,2,3,4,2,3,3,2,4,3,3,1,3,2,2,3,2,3,1,2,2,4,2,2,2,2,2,3,2,2,3,2,2,5,3,2,2,1,2,4,2,3,2,3,1,4,2,3,3,3,3,3,4,3,3,3,4,2,3,3,3,3,3,3,3,3,3,3,2,2,3,4,3,3,3,3,4,3,4,2,4,4,3,3,3,3,4,2,3,3,3,3,2,3,3,3,3,3,2,3,3,3,4,3,3,3,3,3,3,3,4,3,4,4,3,3,2,4,2,3,3,3,2,3,3,3,2,3,4,3,4,3,4,3,3,3,3,2,3,3,3,3,3,budget|sensor_gap|legacy_assets,monitoring|maintenance|quality,training|time|expert,budget>sensor_gap>legacy_assets>network>data_quality,P_sensor>P_quality>C_network>C_edge>I_mapping,availability>quality>energy>throughput>flexibility,pilot_scope>baseline>owner>frontline>reuse,设备、质量、节拍和跨班组信息影响当前稳定运行。,先补齐关键测点、统一记录口径并减少重复录入。,本记录为 PCIO Toolkit 合成示例，仅供参考。
3.0.0,eecf0dc5dde14da89204aeb79e9c6598,2026-06-11T09:45:12.709857+00:00,,CHEM-PILOT-01,匿名流程制造企业,medium,180,chemical,batch_process,反应与蒸发工序,East China,process_variation|energy_cost|equipment_downtime,plc|dcs|excel,connected,关键反应釜、蒸汽计量与三效蒸发,生产技术经理,SYN-015,automation,生产3组,rotating,15,5,college,7,daily,no,20,suggest,3,3,2,3,4,3,2,3,2,2,3,4,3,2,2,2,2,2,3,2,2,2,3,2,3,4,2,3,3,3,2,3,3,3,4,2,3,2,3,3,2,3,3,2,2,2,4,2,3,3,2,3,2,3,2,2,2,2,2,3,4,3,3,2,3,2,2,3,2,4,2,4,3,3,3,3,2,3,3,3,3,3,3,3,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,3,3,2,3,3,4,3,3,4,3,2,2,3,3,4,4,4,4,3,3,4,3,3,3,4,3,4,3,3,4,3,2,3,4,3,4,3,2,3,4,4,4,5,3,3,3,5,2,3,3,4,4,3,4,4,3,4,3,3,4,3,2,3,3,4,3,4,3,4,4,3,3,4,2,4,4,4,4,3,4,3,2,3,3,4,4,4,3,3,4,3,4,4,3,4,4,3,3,2,4,3,3,4,3,4,4,4,3,2,3,4,4,3,3,3,4,3,4,2,3,3,5,4,2,4,4,4,3,3,3,4,3,4,2,3,3,3,4,2,4,3,4,4,2,4,3,4,4,3,4,3,3,3,3,4,4,3,3,3,3,3,4,2,3,3,budget|sensor_gap|legacy_assets,monitoring|maintenance|quality,training|time|expert,budget>sensor_gap>legacy_assets>network>data_quality,P_sensor>P_quality>C_network>C_edge>I_mapping,availability>quality>energy>throughput>flexibility,pilot_scope>baseline>owner>frontline>reuse,设备、质量、节拍和跨班组信息影响当前稳定运行。,先补齐关键测点、统一记录口径并减少重复录入。,本记录为 PCIO Toolkit 合成示例，仅供参考。
3.0.0,35dc37d0b350466382e6026e020b1822,2026-06-11T09:45:12.710835+00:00,,CHEM-PILOT-01,匿名流程制造企业,medium,180,chemical,batch_process,反应与蒸发工序,East China,process_variation|energy_cost|equipment_downtime,plc|dcs|excel,connected,关键反应釜、蒸汽计量与三效蒸发,生产技术经理,SYN-016,operator,生产4组,regular,16,6,college,8,daily,yes,21,approve_local,4,3,4,3,3,3,3,2,3,3,3,3,3,2,3,3,4,2,3,3,3,3,3,3,3,3,4,4,2,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3,2,3,4,4,3,3,3,3,3,3,2,3,3,3,3,3,3,3,4,3,4,3,4,3,3,3,2,4,4,3,4,3,3,4,3,3,3,4,3,3,3,2,4,3,4,3,2,4,3,4,4,3,4,4,4,3,3,3,3,4,4,2,4,4,4,3,3,4,3,3,4,2,4,2,3,3,3,4,3,2,3,3,2,3,3,2,3,3,3,3,4,2,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,2,3,2,3,3,3,3,2,3,3,2,2,4,4,2,2,3,2,3,3,3,3,3,3,3,4,2,2,1,4,1,3,2,1,5,1,1,2,2,4,1,2,1,2,4,2,1,2,2,4,2,1,2,2,5,1,1,2,2,5,1,2,2,2,4,1,2,1,1,4,2,1,2,2,4,4,2,2,2,4,1,2,3,3,4,2,2,2,3,3,2,2,2,2,4,3,1,3,3,3,2,2,3,3,3,4,3,3,3,3,3,3,4,3,3,4,budget|sensor_gap|legacy_assets,monitoring|maintenance|quality,training|time|expert,budget>sensor_gap>legacy_assets>network>data_quality,P_sensor>P_quality>C_network>C_edge>I_mapping,availability>quality>energy>throughput>flexibility,pilot_scope>baseline>owner>frontline>reuse,设备、质量、节拍和跨班组信息影响当前稳定运行。,先补齐关键测点、统一记录口径并减少重复录入。,本记录为 PCIO Toolkit 合成示例，仅供参考。
3.0.0,e84a90a711db43ddb26c914e55dd9c45,2026-06-11T09:45:12.711664+00:00,,CHEM-PILOT-01,匿名流程制造企业,medium,180,chemical,batch_process,反应与蒸发工序,East China,process_variation|energy_cost|equipment_downtime,plc|dcs|excel,connected,关键反应釜、蒸汽计量与三效蒸发,生产技术经理,SYN-017,technician,生产1组,day,17,7,college,1,daily,no,22,suggest,2,2,3,2,4,3,2,3,2,2,3,3,2,2,2,2,2,2,3,2,2,2,3,3,3,3,2,2,2,3,2,3,3,3,3,2,2,3,2,3,3,2,3,3,2,3,3,2,3,2,3,3,3,4,2,3,1,2,2,3,3,3,3,2,3,2,2,3,3,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2,3,4,3,4,3,3,3,3,2,2,3,3,4,3,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,4,3,4,4,3,4,3,4,3,3,3,4,3,3,3,3,4,4,3,3,3,2,3,4,3,3,3,3,4,3,3,2,2,3,4,3,4,3,2,2,4,2,4,3,3,3,3,3,3,3,4,3,4,4,2,3,3,3,3,3,4,4,3,3,3,3,4,3,3,3,4,4,4,4,3,3,3,3,3,3,2,3,4,4,3,4,3,3,3,3,4,3,3,4,3,2,3,3,3,2,3,3,3,3,3,3,3,2,3,3,3,3,4,2,4,3,3,3,3,4,4,3,3,3,3,2,3,3,3,3,4,budget|sensor_gap|legacy_assets,monitoring|maintenance|quality,training|time|expert,budget>sensor_gap>legacy_assets>network>data_quality,P_sensor>P_quality>C_network>C_edge>I_mapping,availability>quality>energy>throughput>flexibility,pilot_scope>baseline>owner>frontline>reuse,设备、质量、节拍和跨班组信息影响当前稳定运行。,先补齐关键测点、统一记录口径并减少重复录入。,本记录为 PCIO Toolkit 合成示例，仅供参考。
3.0.0,ece76a42becc4b8eba34680a79347f78,2026-06-11T09:45:12.712483+00:00,,CHEM-PILOT-01,匿名流程制造企业,medium,180,chemical,batch_process,反应与蒸发工序,East China,process_variation|energy_cost|equipment_downtime,plc|dcs|excel,connected,关键反应釜、蒸汽计量与三效蒸发,生产技术经理,SYN-018,process,生产2组,night,18,8,college,2,daily,no,23,suggest,2,2,3,2,4,2,3,3,2,2,3,4,3,1,2,3,2,3,4,1,2,2,3,2,4,4,3,2,3,4,2,2,3,2,2,3,2,3,3,4,4,2,2,3,2,3,3,3,3,2,2,2,3,3,2,4,3,3,3,2,4,2,2,3,2,3,3,3,1,4,3,3,3,3,4,3,3,3,3,3,3,3,2,4,3,3,3,4,3,3,3,3,3,4,2,3,3,3,3,3,3,3,4,4,3,3,3,4,3,3,3,3,2,3,3,3,3,3,3,4,3,3,3,3,4,3,3,3,3,2,4,4,3,2,3,3,5,3,3,3,3,3,3,2,2,2,3,3,3,3,2,3,2,3,2,3,3,2,2,3,4,2,3,3,3,3,4,3,2,3,4,2,3,2,3,3,2,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,2,3,3,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,3,3,3,2,2,3,3,2,3,2,3,4,3,4,3,3,3,2,3,3,4,3,3,5,4,2,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,3,2,4,3,3,3,3,3,3,3,3,3,2,budget|sensor_gap|legacy_assets,monitoring|maintenance|quality,training|time|expert,budget>sensor_gap>legacy_assets>network>data_quality,P_sensor>P_quality>C_network>C_edge>I_mapping,availability>quality>energy>throughput>flexibility,pilot_scope>baseline>owner>frontline>reuse,设备、质量、节拍和跨班组信息影响当前稳定运行。,先补齐关键测点、统一记录口径并减少重复录入。,本记录为 PCIO Toolkit 合成示例，仅供参考。
3.0.0,f82a3714b4b64a718761aef09902ef0c,2026-06-11T09:45:12.713329+00:00,,CHEM-PILOT-01,匿名流程制造企业,medium,180,chemical,batch_process,反应与蒸发工序,East China,process_variation|energy_cost|equipment_downtime,plc|dcs|excel,connected,关键反应釜、蒸汽计量与三效蒸发,生产技术经理,SYN-019,team_lead,生产3组,rotating,19,9,college,3,daily,yes,24,suggest,3,3,2,3,3,2,3,2,2,3,3,4,3,2,3,3,2,3,3,3,3,3,2,3,3,3,4,2,3,2,3,3,2,2,3,3,4,3,3,4,2,2,3,2,2,3,3,3,3,3,3,3,3,3,2,3,3,4,3,3,3,3,3,3,2,3,3,3,2,4,3,3,3,4,3,3,4,3,3,3,4,3,3,3,3,4,3,3,3,2,3,3,3,3,3,3,3,2,3,4,4,4,3,2,3,3,4,3,2,3,3,3,3,3,3,3,3,3,3,4,2,2,2,2,4,2,2,3,2,1,4,2,2,2,2,2,4,2,2,2,3,1,5,2,2,2,2,1,3,2,2,2,3,3,5,1,2,2,1,2,3,2,2,2,3,2,4,3,2,2,3,2,3,2,2,2,2,1,3,4,5,4,5,3,4,3,3,4,2,3,4,3,4,2,4,5,3,3,2,4,4,5,3,1,4,4,4,5,2,4,4,5,4,2,4,4,4,3,2,3,4,4,3,2,4,3,4,4,1,4,4,4,4,2,4,4,4,3,2,3,5,4,4,2,5,4,4,4,2,5,3,5,4,3,4,4,3,4,3,4,3,4,4,3,3,4,3,3,2,2,budget|sensor_gap|legacy_assets,monitoring|maintenance|quality,training|time|expert,budget>sensor_gap>legacy_assets>network>data_quality,P_sensor>P_quality>C_network>C_edge>I_mapping,availability>quality>energy>throughput>flexibility,pilot_scope>baseline>owner>frontline>reuse,设备、质量、节拍和跨班组信息影响当前稳定运行。,先补齐关键测点、统一记录口径并减少重复录入。,本记录为 PCIO Toolkit 合成示例，仅供参考。
3.0.0,f54cd5a507af494c9256250e2a67d523,2026-06-11T09:45:12.714178+00:00,,CHEM-PILOT-01,匿名流程制造企业,medium,180,chemical,batch_process,反应与蒸发工序,East China,process_variation|energy_cost|equipment_downtime,plc|dcs|excel,connected,关键反应釜、蒸汽计量与三效蒸发,生产技术经理,SYN-020,automation,生产4组,regular,20,10,college,4,daily,no,25,suggest,3,3,3,3,3,3,2,3,3,2,3,3,3,4,4,3,3,3,3,3,2,2,3,2,4,3,3,2,3,3,2,2,3,3,3,3,4,3,3,3,3,2,3,3,3,4,3,3,2,3,2,3,3,3,3,2,2,3,2,3,3,5,3,3,3,3,3,3,4,4,2,3,3,2,2,3,3,4,4,3,3,4,3,4,3,3,3,3,3,4,3,3,3,3,3,3,3,2,3,3,3,2,3,4,3,4,3,4,3,3,3,5,3,3,4,3,4,3,3,4,2,2,1,2,4,2,2,2,2,2,4,2,3,3,3,2,4,2,3,2,2,2,4,2,2,2,2,2,4,3,3,2,3,2,3,3,2,3,2,2,4,2,3,3,2,2,4,2,2,3,2,3,4,2,3,2,2,3,4,4,1,2,2,4,2,2,3,1,4,2,1,2,2,4,2,2,2,1,4,2,2,2,2,4,1,2,1,1,4,1,2,1,3,5,1,2,2,1,4,2,2,2,1,4,3,2,2,2,4,4,3,3,2,3,3,2,2,3,3,3,3,2,3,3,3,3,2,2,3,3,3,2,3,3,3,2,4,2,4,4,3,3,3,3,3,2,3,3,3,3,budget|sensor_gap|legacy_assets,monitoring|maintenance|quality,training|time|expert,budget>sensor_gap>legacy_assets>network>data_quality,P_sensor>P_quality>C_network>C_edge>I_mapping,availability>quality>energy>throughput>flexibility,pilot_scope>baseline>owner>frontline>reuse,设备、质量、节拍和跨班组信息影响当前稳定运行。,先补齐关键测点、统一记录口径并减少重复录入。,本记录为 PCIO Toolkit 合成示例，仅供参考。
3.0.0,e61e3bece32349a3ab85e51a00cf4dc8,2026-06-11T09:45:12.715026+00:00,,CHEM-PILOT-01,匿名流程制造企业,medium,180,chemical,batch_process,反应与蒸发工序,East China,process_variation|energy_cost|equipment_downtime,plc|dcs|excel,connected,关键反应釜、蒸汽计量与三效蒸发,生产技术经理,SYN-021,operator,生产1组,day,1,1,college,5,daily,no,26,approve_local,4,3,3,3,2,4,4,4,4,4,4,3,3,4,4,2,3,4,2,4,3,3,3,3,4,2,3,3,4,4,3,4,2,3,4,4,4,4,4,2,3,3,4,4,4,3,3,4,5,4,4,3,4,2,3,3,4,3,3,3,2,5,4,3,3,3,4,3,4,4,4,3,4,2,4,5,4,4,1,4,3,4,4,2,4,4,3,4,2,4,3,4,4,2,4,4,4,4,2,4,4,4,4,2,4,4,3,4,2,4,4,5,3,2,4,4,4,4,2,4,3,3,3,3,3,3,4,2,3,3,2,3,4,4,3,4,2,3,3,4,4,3,3,4,3,3,3,5,2,3,5,3,4,3,2,3,3,3,3,3,3,4,3,4,4,5,2,4,3,4,3,3,2,3,3,3,3,4,3,4,2,2,3,3,2,2,3,2,3,2,3,3,3,5,4,2,3,2,4,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,2,3,2,3,2,3,2,2,2,3,3,2,3,4,3,4,3,2,3,4,3,3,3,3,3,4,2,2,3,3,4,4,4,3,3,3,2,2,3,3,2,2,3,4,4,4,4,5,2,3,3,3,4,3,budget|sensor_gap|legacy_assets,monitoring|maintenance|quality,training|time|expert,budget>sensor_gap>legacy_assets>network>data_quality,P_sensor>P_quality>C_network>C_edge>I_mapping,availability>quality>energy>throughput>flexibility,pilot_scope>baseline>owner>frontline>reuse,设备、质量、节拍和跨班组信息影响当前稳定运行。,先补齐关键测点、统一记录口径并减少重复录入。,本记录为 PCIO Toolkit 合成示例，仅供参考。
3.0.0,9ed19704e8e64d73a3e791adf84cd672,2026-06-11T09:45:12.715930+00:00,,CHEM-PILOT-01,匿名流程制造企业,medium,180,chemical,batch_process,反应与蒸发工序,East China,process_variation|energy_cost|equipment_downtime,plc|dcs|excel,connected,关键反应釜、蒸汽计量与三效蒸发,生产技术经理,SYN-022,technician,生产2组,night,2,2,college,6,daily,yes,27,suggest,3,3,3,3,3,2,2,3,3,3,3,3,3,3,2,3,3,2,3,3,3,4,3,3,3,3,2,2,4,4,3,4,3,4,4,3,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,4,3,3,3,3,4,3,3,4,3,3,3,4,4,4,4,4,3,3,3,4,4,3,3,3,3,3,4,4,2,3,4,3,3,2,3,3,3,3,3,2,3,3,3,3,3,3,3,4,3,3,3,3,3,3,4,3,4,4,5,2,4,3,5,4,3,3,3,3,5,4,4,2,4,4,4,4,3,2,4,3,3,4,4,2,4,3,3,4,3,2,4,3,5,4,4,2,4,4,4,3,4,3,3,4,4,4,4,2,3,3,3,4,4,3,4,4,4,4,3,3,3,4,4,2,4,4,4,3,3,3,4,5,4,2,3,4,3,4,2,4,3,5,4,3,4,3,4,4,2,3,3,3,4,2,4,3,4,4,2,4,4,4,4,2,4,3,4,3,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,4,3,4,3,3,2,4,4,4,4,4,3,4,2,3,3,3,budget|sensor_gap|legacy_assets,monitoring|maintenance|quality,training|time|expert,budget>sensor_gap>legacy_assets>network>data_quality,P_sensor>P_quality>C_network>C_edge>I_mapping,availability>quality>energy>throughput>flexibility,pilot_scope>baseline>owner>frontline>reuse,设备、质量、节拍和跨班组信息影响当前稳定运行。,先补齐关键测点、统一记录口径并减少重复录入。,本记录为 PCIO Toolkit 合成示例，仅供参考。
