variable,label_zh,label_en,n,missing,mean,std_dev,min,max,ci95_lower,ci95_upper
P_PRM_04,出现参数漂移、超限或波动时，现场能够区分测量问题与真实工况异常。,"When parameter drift, limit violation, or oscillation occurs, the team can distinguish a measurement problem from a real operating exception.",60,0,3.0833333333333335,0.6454972243679028,2.0,4.0,2.9165837184926446,3.2500829481740223
P_PRM_05,围绕关键工艺参数采集的记录经常缺失、滞后或需要事后补填。,"Records for critical process-parameter capture are often missing, delayed, or backfilled after the event.",60,0,2.8666666666666667,0.6500760494407536,1.0,4.0,2.6987342158841683,3.034599117449165
P_PRM_06,情景：产品指标波动并怀疑工艺参数偏移时，我能在规定时间内找到足够数据并采取正确的第一步。,"Scenario: when product performance varies and process drift is suspected, I can find sufficient data within the required time and take the correct first action.",60,0,3.0166666666666666,0.7246662976417857,2.0,5.0,2.829465511560035,3.203867821773298
P_PRM_07,围绕关键工艺参数采集的数据可与另一独立来源交叉核对，并留下偏差处理记录。,"Data for critical process-parameter capture can be cross-checked against an independent source, with discrepancies documented and resolved.",60,0,2.8,0.8396932450381579,1.0,5.0,2.5830842335045623,3.0169157664954374
P_SEN_01,在最近6个月，本区域对传感器与测点覆盖的关键对象和测点有清晰清单。,"During the past six months, this area has maintained a clear inventory of critical objects and tags for sensor and tag coverage.",60,0,2.9166666666666665,0.849559540249757,1.0,5.0,2.6972021658555243,3.1361311674778087
P_SEN_02,关键设备、工序、能源与质量测点清单能够按规定频率形成连续记录，并可按班次、批次或工单调取。,"Critical asset, process, utility, and quality tag inventory are recorded at the required frequency and can be retrieved by shift, batch, or work order.",60,0,2.7333333333333334,0.7333846926031607,1.0,5.0,2.5438799779894943,2.9227866886771725
P_SEN_03,一线人员能够用关键设备、工序、能源与质量测点清单判断真实工况，而不只依赖口头经验。,"Frontline staff can use critical asset, process, utility, and quality tag inventory to judge actual conditions rather than relying only on verbal experience.",60,0,2.75,0.7277781371744775,1.0,4.0,2.561994971500992,2.938005028499008
P_SEN_04,出现关键变量没有测点或只能人工估计时，现场能够区分测量问题与真实工况异常。,"When a critical variable has no tag and must be estimated manually occurs, the team can distinguish a measurement problem from a real operating exception.",60,0,2.8,0.7546466228796952,1.0,5.0,2.6050541056481835,2.994945894351816
P_SEN_05,围绕传感器与测点覆盖的记录经常缺失、滞后或需要事后补填。,"Records for sensor and tag coverage are often missing, delayed, or backfilled after the event.",60,0,2.9166666666666665,0.6712413662397546,2.0,4.0,2.743266634783923,3.09006669854941
P_SEN_06,情景：试点前需要判断哪些测点必须先补齐时，我能在规定时间内找到足够数据并采取正确的第一步。,"Scenario: when the pilot team must decide which missing tags to add first, I can find sufficient data within the required time and take the correct first action.",60,0,2.933333333333333,0.7782350014707153,1.0,5.0,2.732293914646659,3.134372752020007
P_SEN_07,围绕传感器与测点覆盖的数据可与另一独立来源交叉核对，并留下偏差处理记录。,"Data for sensor and tag coverage can be cross-checked against an independent source, with discrepancies documented and resolved.",60,0,2.8333333333333335,0.668077602989218,2.0,4.0,2.6607505881616067,3.0059160785050603
P_CAL_01,在最近6个月，本区域对校准与计量溯源的关键对象和测点有清晰清单。,"During the past six months, this area has maintained a clear inventory of critical objects and tags for calibration and metrological traceability.",60,0,2.95,0.699273230466788,2.0,4.0,2.7693585697244103,3.13064143027559
P_CAL_02,量程、单位、校准日期、偏差与证书能够按规定频率形成连续记录，并可按班次、批次或工单调取。,"Range, unit, calibration date, bias, and certificate data are recorded at the required frequency and can be retrieved by shift, batch, or work order.",60,0,2.816666666666667,0.5963637459756623,1.0,4.0,2.6626095751837853,2.9707237581495485
P_CAL_03,一线人员能够用量程、单位、校准日期、偏差与证书判断真实工况，而不只依赖口头经验。,"Frontline staff can use range, unit, calibration date, bias, and certificate data to judge actual conditions rather than relying only on verbal experience.",60,0,2.8,0.731842346642351,1.0,4.0,2.610945074866559,2.989054925133441
P_CAL_04,出现仪表超期、量程不匹配或零点漂移时，现场能够区分测量问题与真实工况异常。,"When an instrument is overdue, incorrectly ranged, or drifting at zero occurs, the team can distinguish a measurement problem from a real operating exception.",60,0,2.966666666666667,0.7356921488320419,2.0,4.0,2.7766172321719,3.1567161011614338
P_CAL_05,围绕校准与计量溯源的记录经常缺失、滞后或需要事后补填。,"Records for calibration and metrological traceability are often missing, delayed, or backfilled after the event.",60,0,2.966666666666667,0.6880743620304537,2.0,4.0,2.7889182108732506,3.144415122460083
P_CAL_06,情景：两个仪表对同一工况给出明显不同读数时，我能在规定时间内找到足够数据并采取正确的第一步。,"Scenario: when two instruments show materially different readings for the same condition, I can find sufficient data within the required time and take the correct first action.",60,0,2.95,0.699273230466788,2.0,4.0,2.7693585697244103,3.13064143027559
P_CAL_07,围绕校准与计量溯源的数据可与另一独立来源交叉核对，并留下偏差处理记录。,"Data for calibration and metrological traceability can be cross-checked against an independent source, with discrepancies documented and resolved.",60,0,3.0166666666666666,0.7917298517752696,2.0,5.0,2.812141158488561,3.2211921748447723
P_ACC_01,在最近6个月，本区域对现场数据准确性的关键对象和测点有清晰清单。,"During the past six months, this area has maintained a clear inventory of critical objects and tags for shop-floor data accuracy.",60,0,3.066666666666667,0.7561424551163481,1.0,5.0,2.87133435787353,3.2619989754598038
P_ACC_02,传感器值、人工复核值与产品结果能够按规定频率形成连续记录，并可按班次、批次或工单调取。,"Sensor values, manual checks, and product outcomes are recorded at the required frequency and can be retrieved by shift, batch, or work order.",60,0,2.966666666666667,0.7583806715217979,1.0,4.0,2.7707561652656465,3.162577168067687
P_ACC_03,一线人员能够用传感器值、人工复核值与产品结果判断真实工况，而不只依赖口头经验。,"Frontline staff can use sensor values, manual checks, and product outcomes to judge actual conditions rather than relying only on verbal experience.",60,0,2.95,0.7231053560389409,2.0,5.0,2.7632020788674856,3.1367979211325148
P_ACC_04,出现异常值、卡死值或与工况不一致时，现场能够区分测量问题与真实工况异常。,"When outliers, frozen values, or readings inconsistent with conditions occurs, the team can distinguish a measurement problem from a real operating exception.",60,0,2.85,0.684575830567082,2.0,4.0,2.6731553107171164,3.0268446892828837
P_ACC_05,围绕现场数据准确性的记录经常缺失、滞后或需要事后补填。,"Records for shop-floor data accuracy are often missing, delayed, or backfilled after the event.",60,0,2.9166666666666665,0.6712413662397546,2.0,5.0,2.743266634783923,3.09006669854941
P_ACC_06,情景：系统显示正常但现场明显异常时，我能在规定时间内找到足够数据并采取正确的第一步。,"Scenario: when the system appears normal while the physical process is visibly abnormal, I can find sufficient data within the required time and take the correct first action.",60,0,2.966666666666667,0.6880743620304537,2.0,4.0,2.7889182108732506,3.144415122460083
P_ACC_07,围绕现场数据准确性的数据可与另一独立来源交叉核对，并留下偏差处理记录。,"Data for shop-floor data accuracy can be cross-checked against an independent source, with discrepancies documented and resolved.",60,0,3.05,0.7231053560389409,2.0,5.0,2.8632020788674852,3.2367979211325144
P_CMP_01,在最近6个月，本区域对数据完整性与连续性的关键对象和测点有清晰清单。,"During the past six months, this area has maintained a clear inventory of critical objects and tags for data completeness and continuity.",60,0,2.85,0.7089022308339535,1.0,5.0,2.6668711351671233,3.033128864832877
P_CMP_02,缺失率、断点、补录记录与停采时段能够按规定频率形成连续记录，并可按班次、批次或工单调取。,"Missingness, gaps, backfilled records, and collection outages are recorded at the required frequency and can be retrieved by shift, batch, or work order.",60,0,2.95,0.8320894671583893,1.0,5.0,2.7350484976174365,3.164951502382564
P_CMP_03,一线人员能够用缺失率、断点、补录记录与停采时段判断真实工况，而不只依赖口头经验。,"Frontline staff can use missingness, gaps, backfilled records, and collection outages to judge actual conditions rather than relying only on verbal experience.",60,0,2.95,0.7685557664227723,2.0,5.0,2.751460992864712,3.1485390071352883
P_CMP_04,出现班次、批次或关键阶段数据缺失时，现场能够区分测量问题与真实工况异常。,"When shift, batch, or critical-stage data are missing occurs, the team can distinguish a measurement problem from a real operating exception.",60,0,3.033333333333333,0.7356921488320419,1.0,5.0,2.8432838988385662,3.2233827678281
P_CMP_05,围绕数据完整性与连续性的记录经常缺失、滞后或需要事后补填。,"Records for data completeness and continuity are often missing, delayed, or backfilled after the event.",60,0,2.85,0.6593525329532482,1.0,4.0,2.6796711794200956,3.0203288205799046
P_CMP_06,情景：复盘事故时发现关键时间段没有数据时，我能在规定时间内找到足够数据并采取正确的第一步。,"Scenario: when a review finds no data for the critical incident window, I can find sufficient data within the required time and take the correct first action.",60,0,2.933333333333333,0.7333846926031609,1.0,4.0,2.743879977989494,3.1227866886771722
P_CMP_07,围绕数据完整性与连续性的数据可与另一独立来源交叉核对，并留下偏差处理记录。,"Data for data completeness and continuity can be cross-checked against an independent source, with discrepancies documented and resolved.",60,0,2.9166666666666665,0.7656096865181341,1.0,5.0,2.7188887126712573,3.1144446206620757
P_TIM_01,在最近6个月，本区域对采样频率与时间同步的关键对象和测点有清晰清单。,"During the past six months, this area has maintained a clear inventory of critical objects and tags for sampling frequency and time synchronisation.",60,0,2.966666666666667,0.8018340558415717,1.0,4.0,2.759530965798767,3.1738023675345666
P_TIM_02,采样周期、时间戳、设备时钟与事件顺序能够按规定频率形成连续记录，并可按班次、批次或工单调取。,"Sampling intervals, timestamps, device clocks, and event sequence are recorded at the required frequency and can be retrieved by shift, batch, or work order.",60,0,2.933333333333333,0.7098977407062844,1.0,5.0,2.749947301030923,3.1167193656357433
P_TIM_03,一线人员能够用采样周期、时间戳、设备时钟与事件顺序判断真实工况，而不只依赖口头经验。,"Frontline staff can use sampling intervals, timestamps, device clocks, and event sequence to judge actual conditions rather than relying only on verbal experience.",60,0,2.783333333333333,0.6911465950282972,1.0,4.0,2.604791235600414,2.9618754310662525
P_TIM_04,出现采样过慢、时间错位或事件顺序不清时，现场能够区分测量问题与真实工况异常。,"When sampling is too slow, clocks are misaligned, or event order is unclear occurs, the team can distinguish a measurement problem from a real operating exception.",60,0,2.9833333333333334,0.7246662976417857,2.0,5.0,2.796132178226702,3.170534488439965
P_TIM_05,围绕采样频率与时间同步的记录经常缺失、滞后或需要事后补填。,"Records for sampling frequency and time synchronisation are often missing, delayed, or backfilled after the event.",60,0,2.966666666666667,0.6369063647932279,2.0,4.0,2.802136306179287,3.1311970271540464
P_TIM_06,情景：需要比较报警前后数秒内多个设备的变化时，我能在规定时间内找到足够数据并采取正确的第一步。,"Scenario: when multiple assets must be compared within seconds around an alarm, I can find sufficient data within the required time and take the correct first action.",60,0,2.8333333333333335,0.7402854847084714,1.0,4.0,2.642097314358705,3.024569352307962
P_TIM_07,围绕采样频率与时间同步的数据可与另一独立来源交叉核对，并留下偏差处理记录。,"Data for sampling frequency and time synchronisation can be cross-checked against an independent source, with discrepancies documented and resolved.",60,0,2.9166666666666665,0.7431419023347087,1.0,5.0,2.7246927567747443,3.1086405765585887
P_ENE_01,在最近6个月，本区域对能源、环境与安全感知的关键对象和测点有清晰清单。,"During the past six months, this area has maintained a clear inventory of critical objects and tags for utility, environmental, and safety sensing.",60,0,2.9166666666666665,0.6960339624157417,2.0,4.0,2.736862028060331,3.096471305273002
P_ENE_02,电、蒸汽、水、气、排放、温湿度与安全测点能够按规定频率形成连续记录，并可按班次、批次或工单调取。,"Electricity, steam, water, gas, emissions, ambient, and safety tags are recorded at the required frequency and can be retrieved by shift, batch, or work order.",60,0,2.9833333333333334,0.6507275372101721,2.0,4.0,2.8152325854141114,3.1514340812525554
P_ENE_03,一线人员能够用电、蒸汽、水、气、排放、温湿度与安全测点判断真实工况，而不只依赖口头经验。,"Frontline staff can use electricity, steam, water, gas, emissions, ambient, and safety tags to judge actual conditions rather than relying only on verbal experience.",60,0,3.0166666666666666,0.6241378234003048,2.0,5.0,2.855434770183423,3.17789856314991
P_ENE_04,出现分项计量不足、泄漏或安全测点失真时，现场能够区分测量问题与真实工况异常。,"When sub-metering is absent, leakage occurs, or a safety tag is unreliable occurs, the team can distinguish a measurement problem from a real operating exception.",60,0,2.9833333333333334,0.7246662976417857,2.0,5.0,2.796132178226702,3.170534488439965
P_ENE_05,围绕能源、环境与安全感知的记录经常缺失、滞后或需要事后补填。,"Records for utility, environmental, and safety sensing are often missing, delayed, or backfilled after the event.",60,0,2.7666666666666666,0.7890493457677392,1.0,4.0,2.5628336066160826,2.9704997267172506
P_ENE_06,情景：单位能耗突然升高或现场出现泄漏迹象时，我能在规定时间内找到足够数据并采取正确的第一步。,"Scenario: when unit energy use rises suddenly or leakage is suspected, I can find sufficient data within the required time and take the correct first action.",60,0,2.8666666666666667,0.8123342942715872,1.0,5.0,2.656818466584452,3.0765148667488815
P_ENE_07,围绕能源、环境与安全感知的数据可与另一独立来源交叉核对，并留下偏差处理记录。,"Data for utility, environmental, and safety sensing can be cross-checked against an independent source, with discrepancies documented and resolved.",60,0,2.95,0.7461766955734741,1.0,4.0,2.7572421198839137,3.1427578801160867
P_QLT_01,在最近6个月，本区域对质量与缺陷数据采集的关键对象和测点有清晰清单。,"During the past six months, this area has maintained a clear inventory of critical objects and tags for quality and defect-data capture.",60,0,2.8,0.7983032854706413,1.0,4.0,2.5937763938355594,3.0062236061644403
P_QLT_02,检验结果、缺陷类型、位置、批次与返工记录能够按规定频率形成连续记录，并可按班次、批次或工单调取。,"Inspection results, defect type, location, batch, and rework records are recorded at the required frequency and can be retrieved by shift, batch, or work order.",60,0,2.8833333333333333,0.8455600223594002,1.0,5.0,2.6649020175500873,3.1017646491165793
P_QLT_03,一线人员能够用检验结果、缺陷类型、位置、批次与返工记录判断真实工况，而不只依赖口头经验。,"Frontline staff can use inspection results, defect type, location, batch, and rework records to judge actual conditions rather than relying only on verbal experience.",60,0,2.9,0.6814739757767841,2.0,4.0,2.7239566047770256,3.076043395222974
P_QLT_04,出现缺陷描述不统一、记录滞后或样本不足时，现场能够区分测量问题与真实工况异常。,"When defect descriptions are inconsistent, delayed, or undersampled occurs, the team can distinguish a measurement problem from a real operating exception.",60,0,2.8666666666666667,0.6756457467795108,2.0,5.0,2.6921288626434845,3.041204470689849
P_QLT_05,围绕质量与缺陷数据采集的记录经常缺失、滞后或需要事后补填。,"Records for quality and defect-data capture are often missing, delayed, or backfilled after the event.",60,0,2.933333333333333,0.6856066636017631,2.0,5.0,2.7562223516404916,3.1104443150261747
P_QLT_06,情景：同类缺陷在不同班组使用不同名称记录时，我能在规定时间内找到足够数据并采取正确的第一步。,"Scenario: when different shifts record the same defect under different names, I can find sufficient data within the required time and take the correct first action.",60,0,2.933333333333333,0.756142455116348,1.0,5.0,2.7380010245401962,3.12866564212647
P_QLT_07,围绕质量与缺陷数据采集的数据可与另一独立来源交叉核对，并留下偏差处理记录。,"Data for quality and defect-data capture can be cross-checked against an independent source, with discrepancies documented and resolved.",60,0,2.933333333333333,0.634239613242227,2.0,4.0,2.769491867820584,3.097174798846082
P_ACS_01,在最近6个月，本区域对源头数据可获得性的关键对象和测点有清晰清单。,"During the past six months, this area has maintained a clear inventory of critical objects and tags for source-data availability.",60,0,2.9,0.705907277725455,1.0,4.0,2.7176448135943185,3.0823551864056813
P_ACS_02,现场终端、趋势、历史记录与原始数据导出能够按规定频率形成连续记录，并可按班次、批次或工单调取。,"Shop-floor terminals, trends, histories, and raw-data export are recorded at the required frequency and can be retrieved by shift, batch, or work order.",60,0,2.95,0.6745996929755541,1.0,4.0,2.775732420328415,3.1242675796715855
P_ACS_03,一线人员能够用现场终端、趋势、历史记录与原始数据导出判断真实工况，而不只依赖口头经验。,"Frontline staff can use shop-floor terminals, trends, histories, and raw-data export to judge actual conditions rather than relying only on verbal experience.",60,0,2.95,0.6489887831680653,2.0,4.0,2.7823484198786845,3.117651580121316
P_ACS_04,出现数据只能由少数人查询或需要反复申请时，现场能够区分测量问题与真实工况异常。,"When only a few people can retrieve data or repeated requests are required occurs, the team can distinguish a measurement problem from a real operating exception.",60,0,2.966666666666667,0.6629841797500677,2.0,4.0,2.795399692239238,3.1379336410940954
P_ACS_05,围绕源头数据可获得性的记录经常缺失、滞后或需要事后补填。,"Records for source-data availability are often missing, delayed, or backfilled after the event.",60,0,2.9,0.7523972985831715,1.0,5.0,2.705635167728605,3.094364832271395
P_ACS_06,情景：夜班需要立即查看历史趋势但支持人员不在场时，我能在规定时间内找到足够数据并采取正确的第一步。,"Scenario: when night shift urgently needs historical trends while support staff are absent, I can find sufficient data within the required time and take the correct first action.",60,0,2.7333333333333334,0.6856066636017631,1.0,4.0,2.556222351640492,2.910444315026175
C_NET_01,支撑工业网络覆盖的链路在正常生产和高负荷时均保持可用。,Connections supporting industrial network coverage remain available during normal production and peak load.,60,0,3.3666666666666667,0.8018340558415717,2.0,5.0,3.159530965798767,3.5738023675345665
C_NET_02,团队能查看有线、工业无线与移动终端覆盖记录，并知道链路健康状态和责任人。,"The team can review wired, industrial wireless, and mobile-terminal coverage records and knows the connection health status and owner.",60,0,3.283333333333333,0.7152495514881186,2.0,5.0,3.0985647817064677,3.4681018849601988
C_NET_03,出现盲区、弱信号或移动作业中断时，有明确的告警、临时措施、升级路径和恢复验证。,"When dead zones, weak signals, or mobile-work interruption occurs, alerts, temporary controls, escalation, and recovery verification are defined.",60,0,3.2666666666666666,0.6856066636017631,2.0,4.0,3.089555684973825,3.443777648359508
C_NET_04,工业网络覆盖出现问题后，通常要等用户投诉或生产受影响才被发现。,Problems with industrial network coverage are usually detected only after user complaints or production impact.,60,0,3.283333333333333,0.6911465950282971,2.0,4.0,3.104791235600414,3.4618754310662525
C_NET_05,情景：人员移动到边远工位后无法稳定查看数据时，关键数据仍能安全传输、缓存或在恢复后补齐。,"Scenario: when data becomes unavailable at a remote workstation, critical data remain securely transmitted, buffered, or backfilled after recovery.",60,0,3.3,0.7201694715805511,2.0,5.0,3.113960498244319,3.4860395017556804
C_REL_01,支撑数据传输可靠性的链路在正常生产和高负荷时均保持可用。,Connections supporting data-transmission reliability remain available during normal production and peak load.,60,0,3.3833333333333333,0.7385663314751766,2.0,5.0,3.1925414187307797,3.574125247935887
C_REL_02,团队能查看链路可用率、断线日志与重连记录，并知道链路健康状态和责任人。,"The team can review link availability, disconnection logs, and reconnection records and knows the connection health status and owner.",60,0,3.3666666666666667,0.7804098589988461,1.0,5.0,3.165065422705679,3.5682679106276542
C_REL_03,出现频繁断线、重连失败或数据重复时，有明确的告警、临时措施、升级路径和恢复验证。,"When frequent disconnections, failed reconnects, or duplicate data occurs, alerts, temporary controls, escalation, and recovery verification are defined.",60,0,3.3833333333333333,0.7385663314751766,1.0,5.0,3.1925414187307797,3.574125247935887
C_REL_04,数据传输可靠性出现问题后，通常要等用户投诉或生产受影响才被发现。,Problems with data-transmission reliability are usually detected only after user complaints or production impact.,60,0,3.2,0.7083042533080239,2.0,5.0,3.017025609142174,3.3829743908578265
C_REL_05,情景：采集链路间歇中断但设备仍在生产时，关键数据仍能安全传输、缓存或在恢复后补齐。,"Scenario: when collection intermittently fails while the asset keeps running, critical data remain securely transmitted, buffered, or backfilled after recovery.",60,0,3.2333333333333334,0.7217367628174831,2.0,5.0,3.046888957319119,3.4197777093475477
C_LAT_01,支撑数据时延与实时性的链路在正常生产和高负荷时均保持可用。,Connections supporting data latency and timeliness remain available during normal production and peak load.,60,0,3.283333333333333,0.6402241838994506,2.0,5.0,3.117945889287437,3.448720777379229
C_LAT_02,团队能查看端到端延迟、刷新周期与报警到达时间，并知道链路健康状态和责任人。,"The team can review end-to-end latency, refresh interval, and alarm arrival time and knows the connection health status and owner.",60,0,3.2,0.7083042533080239,2.0,5.0,3.017025609142174,3.3829743908578265
C_LAT_03,出现显示滞后导致判断落后于现场时，有明确的告警、临时措施、升级路径和恢复验证。,"When display lag causes decisions to trail actual conditions occurs, alerts, temporary controls, escalation, and recovery verification are defined.",60,0,3.25,0.6541911813032298,2.0,5.0,3.0810044979336504,3.4189955020663496
C_LAT_04,数据时延与实时性出现问题后，通常要等用户投诉或生产受影响才被发现。,Problems with data latency and timeliness are usually detected only after user complaints or production impact.,60,0,3.25,0.7041041910572658,2.0,5.0,3.068110600271774,3.431889399728226
C_LAT_05,情景：快速工艺变化发生后看板数分钟才更新时，关键数据仍能安全传输、缓存或在恢复后补齐。,"Scenario: when a dashboard updates minutes after a rapid process change, critical data remain securely transmitted, buffered, or backfilled after recovery.",60,0,3.2333333333333334,0.6731324866865128,2.0,4.0,3.059444773236664,3.4072218934300027
C_LOS_01,支撑数据丢失与重传的链路在正常生产和高负荷时均保持可用。,Connections supporting data loss and retransmission remain available during normal production and peak load.,60,0,3.2,0.7546466228796951,2.0,5.0,3.005054105648184,3.3949458943518165
C_LOS_02,团队能查看丢包率、补传状态与序列完整性，并知道链路健康状态和责任人。,"The team can review packet loss, backfill status, and sequence completeness and knows the connection health status and owner.",60,0,3.25,0.7277781371744775,2.0,5.0,3.061994971500992,3.438005028499008
C_LOS_03,出现短时数据段永久丢失或顺序错乱时，有明确的告警、临时措施、升级路径和恢复验证。,"When short data segments are permanently lost or reordered occurs, alerts, temporary controls, escalation, and recovery verification are defined.",60,0,3.35,0.6331251516304802,2.0,4.0,3.1864464304494615,3.5135535695505387
C_LOS_04,数据丢失与重传出现问题后，通常要等用户投诉或生产受影响才被发现。,Problems with data loss and retransmission are usually detected only after user complaints or production impact.,60,0,3.25,0.7277781371744775,2.0,5.0,3.061994971500992,3.438005028499008
C_LOS_05,情景：网络恢复后需要确认停线期间数据是否补齐时，关键数据仍能安全传输、缓存或在恢复后补齐。,"Scenario: when the team must verify whether outage data were backfilled, critical data remain securely transmitted, buffered, or backfilled after recovery.",60,0,3.316666666666667,0.6241378234003047,1.0,5.0,3.1554347701834233,3.4778985631499104
C_PRT_01,支撑协议兼容与网关的链路在正常生产和高负荷时均保持可用。,Connections supporting protocol compatibility and gateways remain available during normal production and peak load.,60,0,3.283333333333333,0.6661721329614916,2.0,5.0,3.111242823265367,3.4554238434012996
C_PRT_02,团队能查看PLC/DCS/仪表协议、点表与网关映射，并知道链路健康状态和责任人。,"The team can review PLC/DCS/instrument protocols, tag lists, and gateway mappings and knows the connection health status and owner.",60,0,3.2333333333333334,0.6978579008061127,1.0,5.0,3.053057521478522,3.4136091451881447
C_PRT_03,出现协议不兼容、点位映射错误或厂商锁定时，有明确的告警、临时措施、升级路径和恢复验证。,"When protocol incompatibility, mapping errors, or vendor lock-in occurs, alerts, temporary controls, escalation, and recovery verification are defined.",60,0,3.1666666666666665,0.6422066478409215,2.0,4.0,3.0007670978800336,3.3325662354532994
C_PRT_04,协议兼容与网关出现问题后，通常要等用户投诉或生产受影响才被发现。,Problems with protocol compatibility and gateways are usually detected only after user complaints or production impact.,60,0,3.3666666666666667,0.6880743620304537,2.0,5.0,3.1889182108732506,3.544415122460083
C_PRT_05,情景：新增旧设备需要以低成本接入现有平台时，关键数据仍能安全传输、缓存或在恢复后补齐。,"Scenario: when a legacy asset must connect to the platform at low cost, critical data remain securely transmitted, buffered, or backfilled after recovery.",60,0,3.316666666666667,0.6762726024084973,2.0,5.0,3.141966928663371,3.4913664046699626
C_EDG_01,支撑边缘采集与计算的链路在正常生产和高负荷时均保持可用。,Connections supporting edge collection and computing remain available during normal production and peak load.,60,0,3.1666666666666665,0.6422066478409215,2.0,5.0,3.0007670978800336,3.3325662354532994
C_EDG_02,团队能查看边缘缓存、清洗、规则与本地计算日志，并知道链路健康状态和责任人。,"The team can review edge buffering, cleansing, rules, and local-compute logs and knows the connection health status and owner.",60,0,3.2666666666666666,0.7098977407062844,2.0,5.0,3.0832806343642565,3.4500526989690767
C_EDG_03,出现云端/中心不可用时现场功能全部中断时，有明确的告警、临时措施、升级路径和恢复验证。,"When all local functions stop when cloud or central services fail occurs, alerts, temporary controls, escalation, and recovery verification are defined.",60,0,3.216666666666667,0.7385663314751766,2.0,5.0,3.025874752064113,3.4074585812692204
C_EDG_04,边缘采集与计算出现问题后，通常要等用户投诉或生产受影响才被发现。,Problems with edge collection and computing are usually detected only after user complaints or production impact.,60,0,3.433333333333333,0.7448504949901058,2.0,5.0,3.240918047155888,3.6257486195107784
C_EDG_05,情景：中心网络中断但关键报警仍需在本地运行时，关键数据仍能安全传输、缓存或在恢复后补齐。,"Scenario: when central connectivity fails while critical local alarms must continue, critical data remain securely transmitted, buffered, or backfilled after recovery.",60,0,3.316666666666667,0.650727537210172,2.0,5.0,3.148565918747445,3.484767414585889
C_IAM_01,支撑岗位访问与权限的链路在正常生产和高负荷时均保持可用。,Connections supporting role-based access and permissions remain available during normal production and peak load.,60,0,3.3833333333333333,0.8653727846986957,2.0,5.0,3.15978383831664,3.6068828283500265
C_IAM_02,团队能查看账号、角色、最小权限与访问审计，并知道链路健康状态和责任人。,"The team can review accounts, roles, least privilege, and access audits and knows the connection health status and owner.",60,0,3.3,0.6962368581968814,2.0,5.0,3.1201429478555722,3.4798570521444274
C_IAM_03,出现该看的人看不到、不该看的人权限过大时，有明确的告警、临时措施、升级路径和恢复验证。,"When authorised users lack access while others have excessive rights occurs, alerts, temporary controls, escalation, and recovery verification are defined.",60,0,3.2,0.6587095756740946,2.0,5.0,3.0298372728975123,3.370162727102488
